Biblioteca (câmpus);Cód. Tipo Obra;Descrição Tipo Obra;Acervo - Total Obras;Acervo - Total de Exemplares;Aquisições - Total Obras;Aquisições - Total de Exemplares;Ano
 Materiais on-line                      ;1              ;Livros                        ;7626           ;0              ;7616           ;0              ;2017           
 Materiais on-line                      ;26             ;Referência                    ;1              ;0              ;               ;               ;2017           
 Materiais on-line                      ;4              ;Artigos                       ;3              ;0              ;               ;               ;2017           
 Materiais on-line                      ;7              ;TCC - Graduação               ;27             ;0              ;6              ;0              ;2016           
 Materiais on-line                      ;8              ;Livro eletrônico              ;158            ;0              ;16             ;0              ;2017           
Araraquara                              ;1              ;Livros                        ;1934           ;7538           ;518            ;865            ;2017           
Araraquara                              ;15             ;Periódicos                    ;51             ;708            ;26             ;386            ;2017           
Araraquara                              ;26             ;Referência                    ;12             ;58             ;0              ;0              ;2015           
Avaré                                   ;1              ;Livros                        ;1028           ;2701           ;2              ;8              ;2016           
Avaré                                   ;15             ;Periódicos                    ;13             ;46             ;               ;               ;2017           
Avaré                                   ;2              ;Folhetos                      ;1              ;3              ;1              ;3              ;2017           
Avaré                                   ;25             ;CD                            ;28             ;50             ;0              ;0              ;2015           
Avaré                                   ;26             ;Referência                    ;1              ;3              ;0              ;0              ;2016           
Avaré                                   ;3              ;Catálogo                      ;12             ;46             ;2              ;7              ;2017           
Barretos                                ;15             ;Periódicos                    ;1              ;1              ;0              ;0              ;2015           
Barretos                                ;2              ;Folhetos                      ;2              ;6              ;0              ;0              ;2016           
Barretos                                ;26             ;Referência                    ;19             ;117            ;11             ;43             ;2017           
Birigui                                 ;1              ;Livros                        ;2006           ;6556           ;0              ;0              ;2015           
Birigui                                 ;10             ;TCCP - Pós-Graduação          ;1              ;1              ;               ;               ;2017           
Birigui                                 ;11             ;Gravação de som               ;1              ;1              ;1              ;1              ;2016           
Birigui                                 ;15             ;Periódicos                    ;41             ;686            ;0              ;0              ;2015           
Birigui                                 ;16             ;Periódicos avulsos em bases se;1              ;7              ;1              ;1              ;2016           
Birigui                                 ;18             ;DVD                           ;49             ;57             ;1              ;4              ;2017           
Birigui                                 ;202            ;Tridimensional                ;1              ;1              ;1              ;1              ;2016           
Birigui                                 ;24             ;CD-ROM                        ;21             ;26             ;1              ;1              ;2017           
Birigui                                 ;26             ;Referência                    ;28             ;93             ;2              ;3              ;2016           
Birigui                                 ;31             ;Normas                        ;11             ;20             ;0              ;0              ;2015           
Birigui                                 ;4              ;Artigos                       ;10             ;0              ;9              ;0              ;2016           
Birigui                                 ;7              ;TCC - Graduação               ;25             ;25             ;13             ;13             ;2016           
Boituva                                 ;1              ;Livros                        ;358            ;881            ;0              ;0              ;2015           
Boituva                                 ;25             ;CD                            ;1              ;10             ;0              ;0              ;2015           
Boituva                                 ;26             ;Referência                    ;9              ;15             ;1              ;4              ;2017           
Bragança Paulista                       ;11             ;Gravação de som               ;1              ;1              ;1              ;1              ;2017           
Bragança Paulista                       ;18             ;DVD                           ;8              ;23             ;0              ;0              ;2015           
Bragança Paulista                       ;2              ;Folhetos                      ;5              ;5              ;3              ;3              ;2017           
Bragança Paulista                       ;24             ;CD-ROM                        ;47             ;142            ;30             ;85             ;2016           
Bragança Paulista                       ;25             ;CD                            ;8              ;17             ;3              ;9              ;2017           
Bragança Paulista                       ;27             ;Relatórios                    ;1              ;1              ;1              ;1              ;2016           
Bragança Paulista                       ;28             ;Evento / Anais                ;15             ;17             ;2              ;2              ;2017           
Bragança Paulista                       ;5              ;Apostila                      ;16             ;16             ;9              ;9              ;2017           
Campinas                                ;1              ;Livros                        ;205            ;1003           ;0              ;0              ;2015           
Campinas                                ;11             ;Gravação de som               ;55             ;66             ;39             ;50             ;2017           
Campinas                                ;18             ;DVD                           ;2              ;3              ;               ;               ;2017           
Campinas                                ;24             ;CD-ROM                        ;8              ;13             ;               ;               ;2017           
Campos do Jordão                        ;1              ;Livros                        ;24             ;112            ;0              ;0              ;2015           
Campos do Jordão                        ;26             ;Referência                    ;8              ;22             ;8              ;22             ;2017           
Capivari                                ;101            ;TFC (Trab.Final Curso Tecnico);77             ;51             ;77             ;51             ;2017           
Capivari                                ;15             ;Periódicos                    ;23             ;381            ;21             ;246            ;2017           
Capivari                                ;26             ;Referência                    ;17             ;38             ;7              ;15             ;2016           
Caraguatatuba                           ;1              ;Livros                        ;2414           ;8610           ;0              ;0              ;2015           
Caraguatatuba                           ;18             ;DVD                           ;3              ;9              ;0              ;0              ;2015           
Caraguatatuba                           ;2              ;Folhetos                      ;3              ;13             ;1              ;1              ;2016           
Caraguatatuba                           ;24             ;CD-ROM                        ;77             ;96             ;19             ;1              ;2017           
Caraguatatuba                           ;27             ;Relatórios                    ;2              ;4              ;0              ;0              ;2015           
Caraguatatuba                           ;3              ;Catálogo                      ;1              ;6              ;0              ;0              ;2016           
Caraguatatuba                           ;5              ;Apostila                      ;2              ;2              ;               ;               ;2017           
Caraguatatuba                           ;7              ;TCC - Graduação               ;68             ;31             ;17             ;1              ;2017           
Catanduva                               ;1              ;Livros                        ;1366           ;5362           ;392            ;464            ;2017           
Catanduva                               ;26             ;Referência                    ;5              ;29             ;               ;               ;2017           
Cubatão                                 ;15             ;Periódicos                    ;1              ;5              ;1              ;5              ;2017           
Cubatão                                 ;26             ;Referência                    ;3              ;6              ;1              ;1              ;2017           
